ETF,Underlying,Leverage,cagr_port_hist,LevType,borrow_current,shares_available,borrow_spiking,cagr_positive,borrow_leq_cap,borrow_gt_cap,whitelisted,exclude_borrow_gt_cap,exclude_no_shares,exclude_borrow_spike,include_for_algo
AAPU,AAPL,2.0,0.02723005615839,2x,0.047302,65000,False,True,True,False,False,False,False,False,True
AMUU,AMD,2.0,0.0522670457432024,2x,0.009974000000000004,60000,False,True,True,False,False,False,False,False,True
AMZU,AMZN,2.0,0.0410558628534061,2x,0.073526,150000,False,True,True,False,False,False,False,False,True
AVL,AVGO,2.0,-0.0207378972545139,2x,0.154912,400000,False,False,False,True,False,True,False,False,False
BITX,IBIT,2.0,0.0663596298468758,2x,0.078356,1100000,False,True,True,False,False,False,False,False,True
BOEU,BA,2.0,-0.0094595773612496,2x,0.123764,75000,False,False,False,True,False,True,False,False,False
BRKU,BRK-B,2.0,0.03019831124213,2x,0.030879999999999998,35000,False,True,True,False,False,False,False,False,True
BULU,BULL,2.0,0.0261628281364676,2x,0.364494,10000,False,True,False,True,False,True,False,False,False
CSCL,CSCO,2.0,0.0091189411694998,2x,0.057518,8000,False,True,True,False,False,False,False,False,True
ELIL,LLY,2.0,0.0297973193693044,2x,0.053273999999999995,20000,False,True,True,False,False,False,False,False,True
ETHU,ETHA,2.0,0.1069904570262443,2x,0.015558000000000002,1100000,False,True,True,False,False,False,False,False,True
FRDU,F,2.0,-0.0422478323294731,2x,0.207532,100,False,False,False,True,False,True,True,False,False
GGLL,GOOGL,2.0,0.0605271229335995,2x,0.033806,550000,False,True,True,False,False,False,False,False,True
GMEU,GME,2.0,-0.0547467208781747,2x,0.518742,8000,False,False,False,True,False,True,False,False,False
LMTL,LMT,2.0,0.0422523546445534,2x,0.027,2000,False,True,True,False,False,False,False,False,True
METU,META,2.0,0.0330418542957022,2x,0.011455999999999997,500000,False,True,True,False,False,False,False,False,True
MUU,MU,2.0,0.0300826769560713,2x,0.056854,150000,False,True,True,False,False,False,False,False,True
MSFU,MSFT,2.0,0.0635682776348538,2x,0.044753999999999995,100000,False,True,True,False,False,False,False,False,True
MSTX,MSTR,2.0,0.2738992726644049,2x,,0,False,True,False,True,True,False,True,False,True
NVDU,NVDA,2.0,0.0891107074502173,2x,0.08066,250000,False,True,True,False,False,False,False,False,True
NFXL,NFLX,2.0,0.0482498077960964,2x,0.021338,100000,False,True,True,False,False,False,False,False,True
PLTU,PLTR,2.0,0.050508129082452,2x,0.018938000000000003,100000,False,True,True,False,False,False,False,False,True
PALU,PANW,2.0,0.0567333330362382,2x,0.0,9000,False,True,True,False,False,False,False,False,True
QCMU,QCOM,2.0,0.0564912021192247,2x,0.0,8000,False,True,True,False,False,False,False,False,True
SHPU,SHOP,2.0,-0.0110819372312257,2x,0.162248,25000,False,False,False,True,False,True,False,False,False
TSMX,TSM,2.0,-0.1936968637276591,2x,0.434856,650000,False,False,False,True,False,True,False,False,False
TSLL,TSLA,2.0,-0.0066044163065289,2x,0.047264,7800000,False,False,True,False,False,False,False,False,True
XOMX,XOM,2.0,0.0221662528075599,2x,0.06977000000000001,100,False,True,True,False,False,False,True,False,True
XXRP,GXRP,2.0,0.151180078606425,2x,0.022666,450000,False,True,True,False,False,False,False,False,True
MSTU,MSTR,2.0,-0.2443430436486772,2x,1.012556,1000000,False,False,False,True,True,False,False,False,True
NVDX,NVDA,2.0,0.055771196790153,2x,,0,False,True,False,True,False,True,True,False,False
TSLT,TSLA,2.0,0.0371753585331899,2x,0.080732,40000,False,True,True,False,False,False,False,False,True
BTCL,IBIT,2.0,0.0717873600729299,2x,0.041018,30000,False,True,True,False,False,False,False,False,True
ETU,ETHA,2.0,0.0518448480931217,2x,0.029312000000000005,10000,False,True,True,False,False,False,False,False,True
CCUP,CRCL,2.0,-0.1866402275965671,2x,0.572874,150000,False,False,False,True,False,True,False,False,False
CRWU,CRWV,2.0,-0.0406369799249564,2x,0.259178,100000,False,False,False,True,False,True,False,False,False
AAPX,AAPL,2.0,-0.0015303399209547,2x,0.15418199999999999,9000,False,False,False,True,False,True,False,False,False
GOOX,GOOGL,2.0,0.0359241397968794,2x,0.047543999999999996,20000,False,True,True,False,False,False,False,False,True
MSFX,MSFT,2.0,0.0400035885926648,2x,0.052806000000000006,35000,False,True,True,False,False,False,False,False,True
NFLU,NFLX,2.0,0.054481116421279,2x,0.009454,45000,False,True,True,False,False,False,False,False,True
ROBN,HOOD,2.0,0.002492770732781,2x,0.160084,100000,False,True,False,True,False,True,False,False,False
ARMU,ARM,2.0,0.0361575277098307,2x,0.221858,3000,False,True,False,True,False,True,False,False,False
DJTU,DJT,2.0,-0.063353440205553,2x,0.511324,100000,False,False,False,True,False,True,False,False,False
RBLU,RBLX,2.0,-0.0781798287086344,2x,0.32793,50000,False,False,False,True,False,True,False,False,False
SNOU,SNOW,2.0,-0.0324089326227379,2x,0.16341,25000,False,False,False,True,False,True,False,False,False
SMUP,SMR,2.0,-0.0437777331440784,2x,0.256174,150000,False,False,False,True,False,True,False,False,False
DKUP,DKNG,2.0,0.0384122538636126,2x,0.06173599999999999,2000,False,True,True,False,False,False,False,False,True
GLXU,GLXY,2.0,0.0141471602326317,2x,0.143942,50000,False,True,False,True,True,False,False,False,True
AFRU,AFRM,2.0,0.0860940213272134,2x,0.21629400000000001,8000,False,True,False,True,False,True,False,False,False
AXUP,AXON,2.0,0.0132290257685061,2x,0.132152,2000,False,True,False,True,False,True,False,False,False
KTUP,KTOS,2.0,0.0169781582525307,2x,0.208226,10000,False,True,False,True,False,True,False,False,False
TTDU,TTD,2.0,-0.0384508773110312,2x,0.28956,1000,False,False,False,True,False,True,False,False,False
BKNU,BKNG,2.0,0.0587424390109891,2x,0.09386800000000001,300,False,True,True,False,False,False,True,False,True
PXIU,UPXI,2.0,-0.1358304170271113,2x,0.494556,150000,False,False,False,True,False,True,False,False,False
BMNU,BMNR,2.0,-0.0733638907314552,2x,0.7644920000000001,250000,False,False,False,True,False,True,False,False,False
CIFU,CIFR,2.0,0.0660413971173246,2x,0.26141800000000004,3000,False,True,False,True,False,True,False,False,False
SOLX,GSOL,2.0,0.0555599273684455,2x,,0,False,True,False,True,False,True,True,False,False
XRPK,GXRP,2.0,0.1046334063681493,2x,,0,False,True,False,True,False,True,True,False,False
APLX,APLD,2.0,-0.0750953371056065,2x,0.483568,20000,False,False,False,True,False,True,False,False,False
APPX,APP,2.0,0.0876764923234687,2x,0.061967999999999995,100000,False,True,True,False,False,False,False,False,True
ARCX,ACHR,2.0,-0.011348806808664,2x,0.23456800000000003,5000,False,False,False,True,False,True,False,False,False
ASTX,ASTS,2.0,0.0173887093003264,2x,0.114784,150000,False,True,True,False,False,False,False,False,True
AURU,AUR,2.0,0.1886189200811134,2x,0.176724,200,False,True,False,True,False,True,True,False,False
BEX,BE,2.0,-0.0794815769440112,2x,0.313074,85000,False,False,False,True,False,True,False,False,False
BLSX,BLSH,2.0,-0.0355730141314871,2x,0.05415999999999999,6000,False,False,True,False,False,False,False,False,True
CEGX,CEG,2.0,0.0288766228592125,2x,0.029745999999999998,15000,False,True,True,False,False,False,False,False,True
CELT,CELH,2.0,0.0419308091511791,2x,,0,False,True,False,True,False,True,True,False,False
CLSX,CLSK,2.0,-0.0375396817763109,2x,0.282358,90000,False,False,False,True,False,True,False,False,False
COZX,CORZ,2.0,0.0769294741504771,2x,0.277,8000,False,True,False,True,False,True,False,False,False
CRDU,CRDO,2.0,-0.020682091865388,2x,0.18203599999999998,100000,False,False,False,True,False,True,False,False,False
CSEX,CLS,2.0,-0.0589112489723222,2x,0.143488,700,False,False,False,True,False,True,True,False,False
CWVX,CRWV,2.0,-0.0513848981743823,2x,0.026233999999999997,950000,False,False,True,False,False,False,False,False,True
DASX,DASH,2.0,-0.1488790220971283,2x,0.325252,800,False,False,False,True,False,True,True,False,False
DOGD,DDOG,2.0,0.0240521433063662,2x,0.15881800000000001,1000,False,True,False,True,False,True,False,False,False
ENPX,ENPH,2.0,-0.2094695425541577,2x,0.424452,8000,False,False,False,True,False,True,False,False,False
FLYT,FLY,2.0,0.0819664203183303,2x,0.12914599999999998,8000,False,True,False,True,False,True,False,False,False
GEVX,GEV,2.0,-0.094205703255336,2x,0.32792200000000005,95000,False,False,False,True,False,True,False,False,False
